timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1633734301517,352,HTTP Request-3,200,OK,Thread Group 1-22,text,true,,101846,251,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,211,0,96
1633734300989,1488,HTTP Request,200,OK,Thread Group 1-23,text,true,,105246,619,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,141,0,111
1633734300989,141,HTTP Request-0,301,Moved Permanently,Thread Group 1-23,text,true,,759,121,3,3,https://google.com/classroom,141,0,111
1633734301131,149,HTTP Request-1,301,Moved Permanently,Thread Group 1-23,text,true,,754,125,3,3,https://www.google.com/classroom,149,0,120
1633734301281,867,HTTP Request-2,302,Moved Temporarily,Thread Group 1-23,text,true,,1728,122,3,3,https://classroom.google.com/,867,0,117
1633734302149,328,HTTP Request-3,200,OK,Thread Group 1-23,text,true,,102005,251,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,245,0,120
1633734301488,1611,HTTP Request,200,OK,Thread Group 1-24,text,true,,104998,619,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,127,0,95
1633734301488,127,HTTP Request-0,301,Moved Permanently,Thread Group 1-24,text,true,,759,121,4,4,https://google.com/classroom,127,0,95
1633734301616,138,HTTP Request-1,301,Moved Permanently,Thread Group 1-24,text,true,,754,125,4,4,https://www.google.com/classroom,138,0,109
1633734301755,1031,HTTP Request-2,302,Moved Temporarily,Thread Group 1-24,text,true,,1728,122,4,4,https://classroom.google.com/,1026,0,100
1633734302787,312,HTTP Request-3,200,OK,Thread Group 1-24,text,true,,101757,251,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,234,0,122
1633734301988,1424,HTTP Request,200,OK,Thread Group 1-25,text,true,,105070,619,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,139,0,111
1633734301988,139,HTTP Request-0,301,Moved Permanently,Thread Group 1-25,text,true,,759,121,3,3,https://google.com/classroom,139,0,111
